text,label
Government launches new healthcare plan,REAL
Aliens have landed on the moon last night,FAKE
Stock markets see record growth this quarter,REAL
Scientists discovered mermaids in the Pacific Ocean,FAKE
Local school adopts new STEM curriculum,REAL
Celebrity claims to live without water for a year,FAKE
New vaccine shows promising trial results,REAL
Time traveler warns of alien invasion next week,FAKE
Researchers develop more efficient solar panels,REAL
City shuts down due to dragon sighting,FAKE
